City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Victoria,HK,2021-06-06 02:05:36,22.2855,114.1577,88.97,76,59,1.01
68,Bonfim,BR,2021-06-06 02:05:59,3.0833,-59.95,76.78,87,9,4.99
69,Shelabolikha,RU,2021-06-06 02:06:00,53.4131,82.6167,60.26,61,67,13.15
70,Tucuman,AR,2021-06-06 02:06:00,-26.8241,-65.2226,62.8,78,100,3.76
71,Pasighat,IN,2021-06-06 02:06:00,28.0667,95.3333,75.15,89,100,0.83
72,Imeni Poliny Osipenko,RU,2021-06-06 02:06:01,52.4201,136.4853,47.71,88,100,5.93
73,Lebu,CL,2021-06-06 02:06:01,-37.6167,-73.65,49.14,78,90,12.01
74,Mar Del Plata,AR,2021-06-06 02:02:35,-38.0023,-57.5575,49.12,43,0,7.0
75,Vaini,TO,2021-06-06 02:03:22,-21.2,-175.2,74.82,59,47,10.63
76,Cuiluan,CN,2021-06-06 02:06:02,47.72,128.648,55.47,83,98,4.61
77,Fortuna,US,2021-06-06 02:06:03,40.5982,-124.1573,65.19,67,1,4.0
78,Upernavik,GL,2021-06-06 02:04:33,72.7868,-56.1549,34.86,85,6,3.91
79,Alcudia,ES,2021-06-06 02:06:03,39.8532,3.1214,69.19,90,100,3.09
80,Muros,ES,2021-06-06 02:06:03,42.7762,-9.0603,60.84,83,14,10.29
81,Talnakh,RU,2021-06-06 02:04:49,69.4865,88.3972,31.77,97,100,5.08
82,Hilo,US,2021-06-06 02:03:19,19.7297,-155.09,81.28,84,16,5.99
83,Cairns,AU,2021-06-06 02:06:04,-16.9167,145.7667,80.06,63,75,21.85
84,Arraial Do Cabo,BR,2021-06-06 02:06:05,-22.9661,-42.0278,73.15,87,0,21.81
85,Port Alfred,ZA,2021-06-06 02:03:03,-33.5906,26.891,56.66,59,0,11.86
86,Krasnoselkup,RU,2021-06-06 02:06:05,65.7,82.4667,39.47,55,41,16.15
87,Porbandar,IN,2021-06-06 02:06:06,21.6422,69.6093,85.05,65,9,7.58
88,Half Moon Bay,US,2021-06-06 02:06:06,37.4636,-122.4286,80.8,69,1,5.75
89,San Quintin,MX,2021-06-06 02:06:06,30.4833,-115.95,63.01,76,2,8.28
90,Sibolga,ID,2021-06-06 02:04:25,1.7427,98.7792,81.99,55,81,1.14
91,Nikolskoye,RU,2021-06-06 02:04:55,59.7035,30.7861,53.49,68,100,3.69
92,Hami,CN,2021-06-06 02:03:29,42.8,93.45,77.72,23,69,1.99
93,Butaritari,KI,2021-06-06 02:06:07,3.0707,172.7902,82.42,74,39,7.23
94,Puerto Ayora,EC,2021-06-06 02:05:10,-0.7393,-90.3518,73.54,90,20,3.0
95,Olafsvik,IS,2021-06-06 02:06:08,64.8945,-23.7142,48.09,80,89,12.8
96,Comodoro Rivadavia,AR,2021-06-06 02:06:08,-45.8667,-67.5,40.86,70,0,6.91
97,Ancud,CL,2021-06-06 02:03:22,-41.8697,-73.8203,47.23,81,87,5.21
98,Srednekolymsk,RU,2021-06-06 02:06:09,67.45,153.6833,70.18,28,8,21.74
99,Tasiilaq,GL,2021-06-06 02:03:21,65.6145,-37.6368,41.16,98,100,3.42
100,Viransehir,TR,2021-06-06 02:06:10,37.2353,39.7631,67.46,35,0,4.47
101,Nichinan,JP,2021-06-06 02:05:41,31.6,131.3667,70.75,79,100,2.64
102,Luorong,CN,2021-06-06 02:06:10,24.4058,109.6086,80.44,65,0,1.23
103,Mayo,US,2021-06-06 02:06:10,38.8876,-76.5119,81.09,81,1,8.16
104,Raudeberg,NO,2021-06-06 02:06:11,61.9875,5.1352,57.2,95,100,2.98
105,Ivanteyevka,RU,2021-06-06 02:06:11,55.9711,37.9208,57.74,95,5,5.28
106,Mahibadhoo,MV,2021-06-06 02:06:11,3.7833,72.9667,83.19,71,98,15.01
107,Husavik,IS,2021-06-06 02:06:12,66.0449,-17.3389,49.06,80,94,4.34
108,Thompson,CA,2021-06-06 02:06:12,55.7435,-97.8558,53.76,100,90,12.66
109,Kapaa,US,2021-06-06 02:06:13,22.0752,-159.319,84.18,69,20,4.0
110,Vieux-Habitants,GP,2021-06-06 02:06:13,16.0589,-61.7659,78.37,77,100,12.64
111,Orangeburg,US,2021-06-06 02:02:59,33.4918,-80.8557,73.85,89,100,1.99
112,Faanui,PF,2021-06-06 02:02:01,-16.4833,-151.75,80.92,72,10,9.93
113,Feldbach,AT,2021-06-06 02:06:14,46.9531,15.8883,64.02,94,96,1.57
114,Lalibela,ET,2021-06-06 02:06:14,12.0333,39.0333,58.84,44,54,6.96
115,Kaohsiung,TW,2021-06-06 02:03:06,22.6163,120.3133,75.15,100,90,1.99
116,Saskylakh,RU,2021-06-06 02:06:15,71.9167,114.0833,42.37,52,74,10.51
117,Shimoda,JP,2021-06-06 02:06:15,34.6667,138.95,66.06,96,100,1.81
118,Oranjemund,NA,2021-06-06 02:06:16,-28.55,16.4333,64.94,34,0,17.36
119,Los Llanos De Aridane,ES,2021-06-06 02:06:16,28.6585,-17.9182,62.35,77,90,14.56
120,Agua Verde,MX,2021-06-06 02:06:16,22.9,-106.05,84.29,65,1,5.91
121,Komsomolskiy,UZ,2021-06-06 02:03:55,40.4272,71.7189,81.82,23,0,1.28
122,Diego De Almagro,CL,2021-06-06 02:06:17,-26.3667,-70.05,56.48,63,0,1.83
123,Nemuro,JP,2021-06-06 02:06:17,43.3236,145.575,56.37,79,100,17.07
124,Bada,RU,2021-06-06 02:06:18,51.392,109.8717,80.33,24,51,6.71
125,Springfield,US,2021-06-06 02:02:37,37.2153,-93.2982,72.1,91,90,8.01
126,Port Elizabeth,ZA,2021-06-06 02:06:18,-33.918,25.5701,54.16,59,0,9.24
127,Bluff,NZ,2021-06-06 02:04:59,-46.6,168.3333,49.8,70,74,4.99
128,Texarkana,US,2021-06-06 02:05:11,33.4251,-94.0477,75.42,84,20,1.99
129,New Norfolk,AU,2021-06-06 02:05:16,-42.7826,147.0587,52.66,44,100,4.41
130,Mahebourg,MU,2021-06-06 02:06:19,-20.4081,57.7,72.1,82,15,3.11
131,Colesberg,ZA,2021-06-06 02:06:19,-30.72,25.0972,40.35,26,0,4.41
132,Padang,ID,2021-06-06 02:01:44,-0.9492,100.3543,83.25,62,83,1.12
133,Jonesboro,US,2021-06-06 02:05:28,35.8423,-90.7043,72.7,94,1,5.01
134,Sao Filipe,CV,2021-06-06 02:04:36,14.8961,-24.4956,76.91,66,100,11.45
135,Yaan,NG,2021-06-06 02:06:20,7.3833,8.5667,73.58,94,100,3.71
136,Ormara,PK,2021-06-06 02:04:32,25.2088,64.6357,84.18,73,95,3.67
137,Vardo,NO,2021-06-06 02:06:20,70.3705,31.1107,41.49,75,48,14.7
138,Bondo,CD,2021-06-06 02:06:21,3.8146,23.6866,68.88,100,100,3.42
139,Nome,US,2021-06-06 02:04:11,64.5011,-165.4064,33.87,93,90,17.27
140,Lahij,YE,2021-06-06 02:06:21,13.1667,44.5833,83.7,44,7,1.54
141,San Cristobal,VE,2021-06-06 02:06:22,7.7669,-72.225,68.18,99,100,2.91
142,Aden,YE,2021-06-06 02:06:22,12.7794,45.0367,88.5,64,12,7.54
143,Bakchar,RU,2021-06-06 02:05:21,57.0186,82.0711,59.29,70,93,5.61
144,Glendive,US,2021-06-06 02:06:23,47.1053,-104.7125,81.23,72,75,35.68
145,Tomatlan,MX,2021-06-06 02:06:23,19.9333,-105.25,81.63,66,95,4.83
146,Belomorsk,RU,2021-06-06 02:06:23,64.5232,34.7668,48.02,81,69,9.71
147,Constitucion,CL,2021-06-06 02:06:24,-35.3333,-72.4167,50.54,63,100,5.46
148,Airai,TL,2021-06-06 02:06:24,-8.9266,125.4092,70.66,60,56,3.29
149,Abnub,EG,2021-06-06 02:06:25,27.2696,31.1511,70.3,54,4,14.0
150,Hambantota,LK,2021-06-06 02:06:11,6.1241,81.1185,77.34,100,0,15.1
151,Plainview,US,2021-06-06 02:02:13,40.7765,-73.4673,86.68,61,1,4.61
152,Severo-Kurilsk,RU,2021-06-06 02:06:25,50.6789,156.125,45.73,90,62,9.19
153,Teya,RU,2021-06-06 02:06:26,60.3778,92.6267,44.29,65,78,11.12
154,Grindavik,IS,2021-06-06 02:06:26,63.8424,-22.4338,49.55,87,75,19.33
155,Diapaga,BF,2021-06-06 02:06:16,12.0708,1.7889,80.67,65,73,8.9
156,Paita,PE,2021-06-06 02:06:27,-5.0892,-81.1144,67.84,83,71,13.76
157,Longyearbyen,SJ,2021-06-06 02:06:27,78.2186,15.6401,33.64,75,75,11.5
158,Dunedin,NZ,2021-06-06 02:04:21,-45.8742,170.5036,49.46,79,100,4.52
159,Busselton,AU,2021-06-06 02:05:00,-33.65,115.3333,61.05,79,85,12.33
160,Hanzhong,CN,2021-06-06 02:06:28,33.0728,107.0303,79.59,57,100,1.34
161,Marawi,PH,2021-06-06 02:06:28,7.9986,124.2928,71.65,81,96,3.89
162,Chipata,ZM,2021-06-06 02:06:29,-13.6333,32.65,53.67,71,100,10.0
163,Puerto Escondido,MX,2021-06-06 02:06:29,15.85,-97.0667,83.48,75,100,4.54
164,Kodiak,US,2021-06-06 02:06:30,57.79,-152.4072,62.11,39,1,21.85
165,Sande,DE,2021-06-06 02:06:30,53.5049,8.0142,62.19,99,90,7.09
166,Maningrida,AU,2021-06-06 02:06:30,-12.0667,134.2667,80.92,52,51,11.14
167,Murgab,TM,2021-06-06 02:06:31,37.4966,61.9714,80.47,47,0,11.81
168,Ossora,RU,2021-06-06 02:06:31,59.2353,163.0719,46.96,82,100,7.29
169,Palmas,BR,2021-06-06 02:06:31,-10.2128,-48.3603,78.67,69,75,6.91
170,Viedma,AR,2021-06-06 02:06:32,-40.8135,-62.9967,46.27,56,0,8.39
171,Tual,ID,2021-06-06 02:06:32,-5.6667,132.75,80.96,78,18,18.43
172,Pitimbu,BR,2021-06-06 02:06:33,-7.4706,-34.8086,75.79,87,73,9.33
173,Carnarvon,AU,2021-06-06 02:06:34,-24.8667,113.6333,73.47,53,40,4.61
174,Mareeba,AU,2021-06-06 02:06:23,-17.0,145.4333,75.43,59,17,6.71
175,Olinda,BR,2021-06-06 02:03:32,-8.0089,-34.8553,74.93,83,75,10.74
176,Baghdogra,IN,2021-06-06 02:06:34,26.7,88.3167,78.78,86,65,7.7
177,Kavaratti,IN,2021-06-06 02:06:35,10.5669,72.642,82.85,75,100,14.65
178,Sitka,US,2021-06-06 02:06:35,57.0531,-135.33,53.49,71,75,10.36
179,Tuktoyaktuk,CA,2021-06-06 02:05:04,69.4541,-133.0374,34.5,80,21,11.21
180,Chifeng,CN,2021-06-06 02:06:36,42.2683,118.9636,73.08,31,1,1.5
181,Szentkiraly,HU,2021-06-06 02:06:36,46.9189,19.9185,62.94,94,0,7.67
182,Isla Mujeres,MX,2021-06-06 02:05:41,21.2311,-86.731,82.45,80,100,10.33
183,Cascais,PT,2021-06-06 02:06:37,38.6979,-9.4215,62.26,74,0,1.01
184,Richards Bay,ZA,2021-06-06 02:06:37,-28.783,32.0377,61.41,83,98,2.04
185,Bengkulu,ID,2021-06-06 02:06:38,-3.8004,102.2655,79.5,83,16,1.7
186,Torres,BR,2021-06-06 02:04:15,-29.3353,-49.7269,67.62,85,100,19.13
187,Souillac,MU,2021-06-06 02:05:12,-20.5167,57.5167,71.26,83,14,2.17
188,Mezen,RU,2021-06-06 02:06:38,65.8522,44.24,43.54,63,25,8.55
189,Ust-Nera,RU,2021-06-06 02:06:39,64.5667,143.2,75.92,30,90,10.76
190,Opuwo,NA,2021-06-06 02:06:05,-18.0607,13.84,54.63,36,0,8.32
191,Arona,ES,2021-06-06 02:06:39,28.0996,-16.681,60.31,60,20,6.44
192,Vaitape,PF,2021-06-06 02:06:40,-16.5167,-151.75,80.92,72,10,10.04
193,Barcelos,PT,2021-06-06 02:01:48,41.5388,-8.6151,61.29,81,0,2.68
194,Arkhangelskaya,RU,2021-06-06 02:06:40,45.6796,40.2754,52.66,97,25,7.74
195,Klaksvik,FO,2021-06-06 02:04:07,62.2266,-6.589,49.12,97,94,11.21
196,Nanortalik,GL,2021-06-06 02:01:48,60.1432,-45.2371,41.32,80,100,5.55
197,Yeniseysk,RU,2021-06-06 02:06:41,58.4497,92.1703,56.64,40,0,11.81
198,Pishin,PK,2021-06-06 02:02:25,30.5803,66.9961,76.24,47,0,4.99
199,Nizhniy Tsasuchey,RU,2021-06-06 02:06:42,50.5167,115.1333,78.91,21,0,11.79
200,Roald,NO,2021-06-06 02:06:42,62.5833,6.1333,61.16,100,0,3.44
201,Magistralnyy,RU,2021-06-06 02:06:43,56.1725,107.4458,49.6,94,100,11.56
202,Neuquen,AR,2021-06-06 02:05:20,-38.9516,-68.0591,49.03,40,95,6.6
203,Hamilton,US,2021-06-06 02:06:43,39.1834,-84.5333,76.05,71,1,3.58
204,Kushima,JP,2021-06-06 02:06:43,31.4583,131.2333,71.11,81,100,1.9
205,Nelson Bay,AU,2021-06-06 02:06:44,-32.7167,152.15,62.11,56,0,1.99
206,Kavieng,PG,2021-06-06 02:06:44,-2.5744,150.7967,81.9,77,100,2.46
207,Banda Aceh,ID,2021-06-06 02:04:51,5.5577,95.3222,82.69,73,49,9.78
208,Bara,NG,2021-06-06 02:06:45,10.3744,10.7288,79.5,72,90,9.08
209,Lasa,IT,2021-06-06 02:06:45,46.6166,10.7002,55.62,96,100,5.14
210,Nautla,MX,2021-06-06 02:06:46,20.2167,-96.7833,79.72,83,98,8.14
211,Kapuskasing,CA,2021-06-06 02:06:46,49.4169,-82.4331,54.09,80,4,4.79
212,Narsaq,GL,2021-06-06 02:06:46,60.9167,-46.05,46.62,82,100,5.82
213,Petrovskoye,RU,2021-06-06 02:06:47,57.0104,39.2693,53.56,91,8,4.85
214,Zeya,RU,2021-06-06 02:06:47,53.75,127.2667,70.07,35,0,5.88
215,Shelburne,CA,2021-06-06 02:04:06,44.0787,-80.2041,73.56,46,94,11.48
216,Hofn,IS,2021-06-06 02:06:48,64.2539,-15.2082,46.98,87,100,4.92
217,Hasaki,JP,2021-06-06 02:05:29,35.7333,140.8333,72.0,85,100,4.56
218,Sao Borja,BR,2021-06-06 02:06:48,-28.6606,-56.0044,64.69,95,100,7.65
219,Santa Cecilia,BR,2021-06-06 02:06:49,-26.9608,-50.4269,57.16,89,100,2.1
220,Jinxiang,CN,2021-06-06 02:06:49,27.4327,120.6062,75.29,73,9,3.29
221,Hithadhoo,MV,2021-06-06 02:06:50,-0.6,73.0833,83.08,73,99,13.71
222,Floro,NO,2021-06-06 02:06:50,61.5996,5.0328,59.23,94,90,1.14
223,Belyy Yar,RU,2021-06-06 02:06:50,53.6039,91.3903,51.69,66,0,14.83
224,Visby,SE,2021-06-06 02:06:51,57.6409,18.296,59.22,67,6,9.22
225,Terre-De-Bas,GP,2021-06-06 02:06:51,15.8501,-61.6442,78.31,76,100,18.21
226,Yinchuan,CN,2021-06-06 02:06:51,38.4681,106.2731,81.68,17,100,8.68
227,Luderitz,NA,2021-06-06 02:06:52,-26.6481,15.1594,70.14,31,0,26.15
228,Almeirim,BR,2021-06-06 02:06:52,-1.5233,-52.5817,75.34,87,32,3.31
229,Lompoc,US,2021-06-06 02:06:52,34.6391,-120.4579,69.94,80,75,11.01
230,Sobolevo,RU,2021-06-06 02:06:53,54.4299,31.8996,53.62,71,84,4.97
231,Nago,JP,2021-06-06 02:06:53,26.5881,127.9761,86.45,83,100,15.57
232,Leningradskiy,RU,2021-06-06 02:04:12,69.3833,178.4167,37.69,92,100,14.16
233,Bathsheba,BB,2021-06-06 02:04:58,13.2167,-59.5167,80.02,79,100,17.18
234,Carutapera,BR,2021-06-06 02:06:54,-1.195,-46.02,76.06,88,87,4.12
235,Shache,CN,2021-06-06 02:03:52,38.4167,77.2406,82.4,19,0,5.68
236,Port Hedland,AU,2021-06-06 02:06:55,-20.3167,118.5667,80.65,28,80,18.41
237,Geraldton,AU,2021-06-06 02:05:23,-28.7667,114.6,62.13,72,0,6.64
238,Gimbi,ET,2021-06-06 02:06:55,9.1667,35.8333,54.23,97,53,3.15
239,Consuelo,PH,2021-06-06 02:06:55,10.6348,124.301,83.14,70,62,3.02
240,Beisfjord,NO,2021-06-06 02:06:56,68.3751,17.5988,54.05,69,32,1.36
241,Wuxi,CN,2021-06-06 02:06:56,31.5689,120.2886,90.95,50,0,6.78
242,Batticaloa,LK,2021-06-06 02:06:57,7.7102,81.6924,80.8,76,98,3.8
243,Hurghada,EG,2021-06-06 02:06:57,27.2574,33.8129,73.92,39,0,18.54
244,Kentau,KZ,2021-06-06 02:06:58,43.5206,68.5094,81.05,33,29,10.27
245,Kochevo,RU,2021-06-06 02:06:58,59.5994,54.3125,58.55,66,8,6.35
246,Vanimo,PG,2021-06-06 02:06:59,-2.6741,141.3028,84.67,67,74,4.47
247,Qujing,CN,2021-06-06 02:06:59,25.4833,103.7833,70.02,59,93,3.42
